K,seed,avg_state_frac,avg_obs_frac,avg_frac,V_full,V_proj,eps,err,V_max,valid
8,3,0.2538461538461539,0.24000000000000005,0.24692307692307697,4.84922957103953,3.689911457840976,17.156649387049814,1.1593181131985535,30.0,1
8,4,0.24583333333333335,0.38333333333333336,0.3145833333333333,4.84922957103953,1.8736908972954573,17.563335452103686,2.9755386737440723,30.0,1
16,0,0.3428571428571428,0.3857142857142857,0.3642857142857142,4.84922957103953,4.15714416838954,8.157998818787977,0.6920854026499894,30.0,1
16,1,0.30000000000000004,0.34,0.32000000000000006,4.84922957103953,3.6697357152340455,12.530209883190855,1.1794938558054842,30.0,1
16,2,0.376,0.4000000000000001,0.388,4.84922957103953,5.468057616472278,8.953042160229128,0.6188280454327479,30.0,1
16,3,0.29999999999999993,0.42857142857142855,0.3642857142857142,4.84922957103953,4.242108529636806,11.205139727666367,0.6071210414027233,30.0,1
16,4,0.3375,0.4428571428571428,0.3901785714285714,4.84922957103953,4.19473093819488,8.833270295275494,0.6544986328446498,30.0,1
32,0,0.4161290322580644,0.4285714285714285,0.42235023041474645,4.84922957103953,5.129205574085993,5.304208684751606,0.2799760030464631,30.0,1
32,1,0.42068965517241386,0.46666666666666673,0.44367816091954027,4.84922957103953,5.60952444220078,7.297205947919938,0.7602948711612507,30.0,1
32,2,0.3735294117647059,0.4714285714285714,0.42247899159663865,4.84922957103953,5.034664679272104,4.863855290303429,0.18543510823257403,30.0,1
32,3,0.4029411764705883,0.4714285714285714,0.43718487394957983,4.84922957103953,5.511151488984059,5.22864633899502,0.6619219179445297,30.0,1
32,4,0.39999999999999997,0.5,0.44999999999999996,4.84922957103953,4.980340233841868,4.234912878025989,0.13111066280233796,30.0,1
64,0,0.42666666666666675,0.55,0.4883333333333334,4.84922957103953,4.920604300780792,2.827629833026317,0.07137472974126258,30.0,1
64,1,0.4282608695652173,0.5625,0.4953804347826086,4.84922957103953,4.930281261966978,2.9604207889978884,0.08105169092744813,30.0,1
64,2,0.4086956521739129,0.5625,0.48559782608695645,4.84922957103953,4.97196794027425,3.892005709598818,0.12273836923472015,30.0,1
64,3,0.4477272727272728,0.5375,0.4926136363636364,4.84922957103953,4.930244419634052,3.745652252133991,0.08101484859452235,30.0,1
64,4,0.4875,0.5571428571428572,0.5223214285714286,4.84922957103953,5.361815067915447,4.431834993717616,0.5125854968759169,30.0,1
128,0,0.46799999999999997,0.6124999999999999,0.5402499999999999,4.84922957103953,4.9416584768801215,2.273825177118245,0.09242890584059182,30.0,1
128,1,0.4541666666666666,0.5875,0.5208333333333333,4.84922957103953,4.9147796289381285,2.4352312067690463,0.0655500578985988,30.0,1
128,2,0.5,0.6375000000000001,0.5687500000000001,4.84922957103953,4.910536239767751,3.4183458456995064,0.061306668728221325,30.0,1
128,3,0.4653061224489796,0.6,0.5326530612244897,4.84922957103953,4.914510721885302,2.712322303664423,0.06528115084577202,30.0,1
128,4,0.4773584905660377,0.6499999999999999,0.5636792452830188,4.84922957103953,4.920267720588061,2.4293038251715204,0.07103814954853149,30.0,1
256,0,0.5120689655172413,0.7124999999999999,0.6122844827586207,4.84922957103953,4.876662587302907,2.035368725957354,0.027433016263377574,30.0,1
256,1,0.5362068965517242,0.7125,0.6243534482758621,4.84922957103953,4.868238014600428,2.000521166366722,0.01900844356089859,30.0,1
256,2,0.5206896551724137,0.7125,0.6165948275862069,4.84922957103953,4.919430184590622,2.4000019527639305,0.07020061355109242,30.0,1
256,3,0.5229508196721311,0.75,0.6364754098360655,4.84922957103953,4.875866029759398,2.0992553350103993,0.026636458719868195,30.0,1
256,4,0.4964912280701754,0.7,0.5982456140350877,4.84922957103953,4.874714979550753,2.0050014117946358,0.025485408511223717,30.0,1
2048,0,0.6492537313432836,0.825,0.7371268656716418,4.84922957103953,4.8561581315923705,1.7717180954928535,0.006928560552840857,30.0,1
2048,1,0.6397058823529411,0.8375,0.7386029411764705,4.84922957103953,4.85580338576264,1.7912815348862487,0.006573814723110694,30.0,1
2048,2,0.6514705882352941,0.8375,0.7444852941176471,4.84922957103953,4.854945555245727,1.7928269516855933,0.0057159842061969,30.0,1
2048,3,0.6499999999999999,0.8375,0.7437499999999999,4.84922957103953,4.856877272707117,1.7069113981272555,0.0076477016675875475,30.0,1
2048,4,0.6432835820895523,0.825,0.7341417910447761,4.84922957103953,4.859865750074863,1.854936434440031,0.010636179035333093,30.0,1
