policy,frac,S,Z,V_full,V_proj,eps,err,V_max,valid
greedy,0.2,2,2,15.26133981512454,3.7201565446884004,42.54839216931817,11.54118327043614,50.0,1
greedy,0.4,4,4,15.26133981512454,8.917737889674363,32.075657402354274,6.3436019254501765,50.0,1
greedy,0.6,6,6,15.26133981512454,13.718357344217255,22.274306467443175,1.542982470907285,50.0,1
greedy,0.8,8,8,15.26133981512454,15.639877588883753,13.246596931081193,0.3785377737592128,50.0,1
greedy,1.0,10,10,15.26133981512454,15.261339806620377,8.881784197001252e-15,8.504162707367868e-09,50.0,1
