policy,frac,S,Z,V_full,V_proj,eps,err,V_max,valid
greedy,0.2,2,2,9.99157230131429,2.9218377145123817,24.154142738039788,7.069734586801909,30.0,1
greedy,0.4,4,4,9.99157230131429,6.3786198484130425,17.229558913097904,3.612952452901248,30.0,1
greedy,0.6,6,6,9.99157230131429,9.487527198167552,10.836230838320127,0.5040451031467388,30.0,1
greedy,0.8,8,8,9.99157230131429,10.445292561973782,5.430090654786097,0.453720260659491,30.0,1
greedy,1.0,10,10,9.99157230131429,9.99157230131429,4.440892098500626e-15,0.0,30.0,1
