policy,frac,S,Z,V_full,V_proj,eps,err,V_max,valid
greedy,0.2,2,2,12.736837787212659,3.3928706155976007,33.2080263715832,9.34396717161506,40.0,1
greedy,0.4,4,4,12.736837787212659,7.786470120402709,24.383633512910787,4.95036766680995,40.0,1
greedy,0.6,6,6,12.736837787212659,11.779731180133103,16.206460134119787,0.957106607079556,40.0,1
greedy,0.8,8,8,12.736837787212659,13.2230298129618,8.991020558898528,0.48619202574914056,40.0,1
greedy,1.0,10,10,12.736837787212659,12.736837780536037,8.881784197001252e-15,6.676621921997139e-09,40.0,1
