policy,frac,S,Z,V_full,V_proj,eps,err,V_max,valid
greedy,0.2,4,2,10.077864590689845,3.1689150896966463,23.65624863819971,6.908949500993199,30.0,1
greedy,0.4,8,4,10.077864590689845,6.299050150839919,17.385921318610652,3.778814439849927,30.0,1
greedy,0.6,12,6,10.077864590689845,7.388910764024085,12.906288116810078,2.6889538266657604,30.0,1
greedy,0.8,16,8,10.077864590689845,9.974362797836436,6.759804826097668,0.10350179285340921,30.0,1
greedy,1.0,20,10,10.077864590689845,10.077864584965083,4.440892098500626e-15,5.724762885961354e-09,30.0,1
