policy,frac,S,Z,V_full,V_proj,eps,err,V_max,valid
greedy,0.2,4,3,10.327283593850224,3.277938322955091,23.43545583975245,7.049345270895133,30.0,1
greedy,0.4,8,6,10.327283593850224,6.341950893948111,17.303197937704464,3.985332699902113,30.0,1
greedy,0.6,12,9,10.327283593850224,7.430832936808893,13.156239424300686,2.8964506570413304,30.0,1
greedy,0.8,16,12,10.327283593850224,10.050505378818622,6.751300918090375,0.2767782150316016,30.0,1
greedy,1.0,20,15,10.327283593850224,10.327283576502035,4.440892098500626e-15,1.734818866339083e-08,30.0,1
