m,n_S_in,n_Z_in,V_full,V_proj,certificate,true_error,valid
0.1,1,1,11.866306447210837,1.5867102101898922,36.826579579620216,10.279596237020945,1
0.2,2,1,11.866306447210837,2.8958126036834466,34.20232248877721,8.97049384352739,1
0.30000000000000004,3,2,11.866306447210837,6.0380144032551755,27.893953711330056,5.828292043955662,1
0.4,4,2,11.866306447210837,7.708886595801201,24.51469369443637,4.157419851409636,1
0.5,5,3,11.866306447210837,10.897702693699989,18.13989806914363,0.9686037535108483,1
0.6,6,4,11.866306447210837,13.151458887507804,12.812568611922119,1.285152440296967,1
0.7000000000000001,7,4,11.866306447210837,12.628277875607244,10.329250009127314,0.7619714283964072,1
0.8,8,5,11.866306447210837,12.142354715517532,7.8505695940055435,0.2760482683066954,1
0.9,9,5,11.866306447210837,11.796558851115995,6.2741901515394325,0.06974759609484238,1
1.0,10,6,11.866306447210837,11.866306447210837,0.0,0.0,1
