m,n_S_in,n_Z_in,V_full,V_proj,certificate,true_error,valid
0.1,1,1,10.80229976897024,1.4234810981312713,37.15303780373746,9.37881867083897,1
0.2,2,2,10.80229976897024,3.411918722206762,33.15832966632817,7.390381046763478,1
0.30000000000000004,3,3,10.80229976897024,5.631937203134084,28.67490184227647,5.170362565836156,1
0.4,4,4,10.80229976897024,7.78651704027373,24.350914394019462,3.01578272869651,1
0.5,5,5,10.80229976897024,9.80851589124706,20.194039695578105,0.99378387772318,1
0.6,6,6,10.80229976897024,11.625337678798203,16.17346924350037,0.8230379098279634,1
0.7000000000000001,7,7,10.80229976897024,11.27165974431447,13.673074919386957,0.46935997534422924,1
0.8,8,8,10.80229976897024,11.00066470360538,11.828822679694664,0.1983649346351406,1
0.9,9,9,10.80229976897024,10.775178524559275,10.280417171295525,0.027121244410965417,1
1.0,10,10,10.80229976897024,10.802299768801605,1.2212453270876722e-14,1.6863488383478398e-10,1
