Support,V_full,V_proj,certificate,true_error,delta_b_contribution,delta_K_contribution,leakage_contribution
0.1,11.025154415246519,0.3876726252083429,57.2111729161911,10.637481790038176,0.0,0.0,57.2111729161911
0.325,11.025154415246519,1.8873720028393384,52.017206204762026,9.13778241240718,0.0,0.0,52.01720620476202
0.55,11.025154415246519,6.4985444737747,37.82464716522501,4.526609941471818,0.0,0.0,37.82464716522501
0.775,11.025154415246519,11.067117800874286,22.556302234581537,0.041963385627767025,0.0,0.0,22.556302234581537
1.0,11.025154415246519,11.025154415246519,7.771561172376096e-15,0.0,0.0,0.0,7.771561172376096e-15
