m,n_S_in,n_Z_in,V_full,V_proj,certificate,true_error,valid
0.1,1,1,12.188410377112598,1.5867025697041008,36.826594860591804,10.601707807408497,1
0.2,2,1,12.188410377112598,2.8957888473332676,34.20236966846302,9.29262152977933,1
0.30000000000000004,3,2,12.188410377112598,6.037878513630931,27.894224323024197,6.1505318634816675,1
0.4,4,3,12.188410377112598,8.804066606996047,22.344291919675314,3.3843437701165513,1
0.5,5,4,12.188410377112598,11.150202694963614,17.337749198550235,1.0382076821489843,1
0.6,6,4,12.188410377112598,13.154498300156453,12.81710679237911,0.9660879230438546,1
0.7000000000000001,7,5,12.188410377112598,12.790042491896102,9.778192984105225,0.601632114783504,1
0.8,8,6,12.188410377112598,12.41354806346595,7.713902472909552,0.22513768635335119,1
0.9,9,6,12.188410377112598,12.163533780278444,6.066926355488226,0.02487659683415444,1
1.0,10,7,12.188410377112598,12.188410377112598,8.881784197001252e-15,0.0,1
