K,seed,avg_state_frac,avg_obs_frac,avg_frac,V_full,V_max,V_proj,certificate,true_error,valid
1,0,0.1,0.10000000000000002,0.1,12.594956217798833,40.0,0.9279257128234346,38.14346631282368,11.667030504975399,1
1,1,0.1,0.10000000000000002,0.1,12.594956217798833,40.0,0.7150428794720898,38.5702070389206,11.879913338326743,1
1,2,0.1,0.10000000000000002,0.1,12.594956217798833,40.0,0.9658958233548208,38.06820835329036,11.629060394444013,1
1,3,0.1,0.10000000000000002,0.1,12.594956217798833,40.0,1.586701376808728,36.82659724638255,11.008254840990105,1
1,4,0.1,0.1,0.1,12.594956217798833,40.0,-0.2331390103458161,39.52258003518249,12.82809522814465,1
2,0,0.2,0.13333333333333333,0.16666666666666669,12.594956217798833,40.0,1.6895086031825843,36.603280656360354,10.905447614616248,1
2,1,0.1375,0.175,0.15625,12.594956217798833,40.0,0.6244097105796672,37.63485287530394,11.970546507219165,1
2,2,0.12500000000000003,0.18333333333333332,0.15416666666666667,12.594956217798833,40.0,1.4907638035353001,36.864627548788675,11.104192414263533,1
2,3,0.16250000000000003,0.175,0.16875,12.594956217798833,40.0,2.2066150526632367,35.618808591652446,10.388341165135596,1
2,4,0.1444444444444445,0.2,0.17222222222222225,12.594956217798833,40.0,0.6325699474311436,37.74993209642375,11.96238627036769,1
4,0,0.21785714285714292,0.24545454545454548,0.2316558441558442,12.594956217798833,40.0,3.626683274804149,32.03601822017049,8.968272942994684,1
4,1,0.19999999999999998,0.22000000000000003,0.21000000000000002,12.594956217798833,40.0,2.4921817170747476,33.8799675483529,10.102774500724085,1
4,2,0.18846153846153849,0.25,0.21923076923076923,12.594956217798833,40.0,4.877915028016683,30.137144828854822,7.71704118978215,1
4,3,0.2058823529411765,0.2,0.20294117647058824,12.594956217798833,40.0,5.089723576968937,30.19302231548783,7.505232640829896,1
4,4,0.20857142857142857,0.26153846153846155,0.23505494505494506,12.594956217798833,40.0,3.0582551900136696,30.777293351978997,9.536701027785163,1
8,0,0.24084507042253517,0.35,0.2954225352112676,12.594956217798833,40.0,6.115990693134644,24.235050803000647,6.478965524664189,1
8,1,0.2354166666666667,0.29374999999999996,0.26458333333333334,12.594956217798833,40.0,6.82544186694931,25.56675871699379,5.769514350849523,1
8,2,0.2731707317073171,0.3076923076923077,0.2904315196998124,12.594956217798833,40.0,6.173712414283144,27.499349826744655,6.421243803515689,1
8,3,0.25,0.29375000000000007,0.27187500000000003,12.594956217798833,40.0,9.096247481629007,22.361536395433518,3.498708736169826,1
8,4,0.24590163934426224,0.35294117647058826,0.2994214079074252,12.594956217798833,40.0,9.613935668226583,18.20736904944156,2.98102054957225,1
16,0,0.3023809523809524,0.3952380952380953,0.34880952380952385,12.594956217798833,40.0,9.186269473489434,16.835835558281662,3.4086867443093993,1
16,1,0.2985294117647058,0.3722222222222223,0.3353758169934641,12.594956217798833,40.0,7.346207162423279,22.39447830794113,5.248749055375554,1
16,2,0.29793814432989685,0.4000000000000001,0.34896907216494844,12.594956217798833,40.0,12.37614141116558,14.98875752231892,0.2188148066332527,1
16,3,0.3136363636363636,0.3954545454545455,0.35454545454545455,12.594956217798833,40.0,12.03410048221887,13.451089801655923,0.5608557355799633,1
16,4,0.3337837837837837,0.3842105263157895,0.3589971550497866,12.594956217798833,40.0,11.880935692009665,11.215483802736339,0.7140205257891683,1
32,0,0.38888888888888884,0.4785714285714286,0.43373015873015874,12.594956217798833,40.0,12.356606916037558,7.371025032402418,0.238349301761275,1
32,1,0.3685185185185184,0.44583333333333336,0.4071759259259259,12.594956217798833,40.0,10.325938574613904,16.48029819613019,2.269017643184929,1
32,2,0.36742424242424243,0.46785714285714286,0.41764069264069265,12.594956217798833,40.0,12.409831946443743,7.843671703279586,0.18512427135508958,1
32,3,0.363779527559055,0.46666666666666673,0.4152230971128609,12.594956217798833,40.0,12.682681482736616,10.017641262512676,0.08772526493778265,1
32,4,0.3713178294573643,0.47407407407407404,0.42269595176571917,12.594956217798833,40.0,12.458537720559585,7.71836844153914,0.13641849723924793,1
64,0,0.42654320987654315,0.5551724137931033,0.49085781183482324,12.594956217798833,40.0,12.410725236985364,4.689686133148377,0.184230980813469,1
64,1,0.4183098591549296,0.5222222222222223,0.4702660406885759,12.594956217798833,40.0,12.476309506514722,5.442512030771627,0.11864671128411075,1
64,2,0.42901234567901236,0.5366666666666666,0.4828395061728395,12.594956217798833,40.0,12.388077927108048,6.988755119257414,0.2068782906907849,1
64,3,0.4140845070422535,0.5222222222222223,0.4681533646322379,12.594956217798833,40.0,12.420359449204906,7.102532001107277,0.17459676859392737,1
64,4,0.4132867132867132,0.5071428571428571,0.46021478521478515,12.594956217798833,40.0,12.48893666978246,8.056292910309661,0.10601954801637348,1
128,0,0.48125,0.5833333333333335,0.5322916666666667,12.594956217798833,40.0,12.441453443808125,4.486462319609956,0.15350277399070755,1
128,1,0.46309523809523817,0.5758620689655172,0.5194786535303777,12.594956217798833,40.0,12.476754513787753,4.51151476356282,0.11820170401107966,1
128,2,0.47282051282051274,0.5878787878787879,0.5303496503496503,12.594956217798833,40.0,12.534189925387489,4.889262794505224,0.060766292411344125,1
128,3,0.47923497267759557,0.5870967741935484,0.533165873435572,12.594956217798833,40.0,12.556293470275664,4.911314762092597,0.038662747523169116,1
128,4,0.4727272727272727,0.5833333333333334,0.5280303030303031,12.594956217798833,40.0,12.443200514471421,5.2426414837289155,0.15175570332741195,1
256,0,0.5344660194174757,0.640625,0.5875455097087379,12.594956217798833,40.0,12.486096809454716,4.213380864404355,0.10885940834411656,1
