K,seed,avg_state_frac,avg_obs_frac,avg_frac,V_full,V_max,V_proj,certificate,true_error,valid
1,0,0.1,0.10000000000000002,0.1,13.619825877144239,40.0,0.9542949597999865,38.09001005998774,12.665530917344253,1
1,1,0.1,0.10000000000000002,0.1,13.619825877144239,40.0,0.7296417077367015,38.54166068517973,12.890184169407537,1
1,2,0.1,0.10000000000000002,0.1,13.619825877144239,40.0,0.9998480902551393,38.000303819489716,12.6199777868891,1
1,3,0.1,0.10000000000000002,0.1,13.619825877144239,40.0,1.6812655401681367,36.637468919663725,11.938560336976103,1
1,4,0.1,0.1,0.1,13.619825877144239,40.0,-0.2331390103458161,39.51460314547326,13.852964887490055,1
1,5,0.1,0.10000000000000002,0.1,13.619825877144239,40.0,0.632835554929965,38.38812518023209,12.986990322214274,1
1,6,0.1,0.10000000000000002,0.1,13.619825877144239,40.0,1.168185039771914,37.92330074020123,12.451640837372324,1
1,7,0.1,0.10000000000000002,0.1,13.619825877144239,40.0,0.8752113258452238,38.39192658548778,12.744614551299016,1
1,8,0.1,0.10000000000000002,0.1,13.619825877144239,40.0,0.7180955633086485,38.563808873382705,12.90173031383559,1
1,9,0.1,0.10000000000000002,0.1,13.619825877144239,40.0,-0.3177882263024471,39.19744933879506,13.937614103446686,1
2,0,0.2,0.13333333333333333,0.16666666666666669,13.619825877144239,40.0,1.7329874180791283,36.502759792178196,11.88683845906511,1
2,1,0.1375,0.175,0.15625,13.619825877144239,40.0,0.6580535641878719,37.52847962147821,12.961772312956366,1
2,2,0.12500000000000003,0.18333333333333332,0.15416666666666667,13.619825877144239,40.0,1.57568401465967,36.68976868385387,12.044141862484569,1
2,3,0.16250000000000003,0.175,0.16875,13.619825877144239,40.0,2.344633746652387,35.348367385455525,11.275192130491853,1
2,4,0.1444444444444445,0.2,0.17222222222222225,13.619825877144239,40.0,0.6711513534422732,37.66199979664478,12.948674523701966,1
2,5,0.13333333333333333,0.125,0.12916666666666665,13.619825877144239,40.0,1.2965656807836592,37.40339665451607,12.323260196360579,1
2,6,0.15000000000000002,0.175,0.1625,13.619825877144239,40.0,2.298241550804825,35.9091945741763,11.321584326339414,1
2,7,0.13571428571428573,0.1857142857142857,0.1607142857142857,13.619825877144239,40.0,0.6835399281625754,36.91412274896979,12.936285948981663,1
2,8,0.12,0.13333333333333333,0.12666666666666665,13.619825877144239,40.0,1.0959802312821427,36.21015929594696,12.523845645862096,1
2,9,0.14545454545454548,0.16666666666666666,0.15606060606060607,13.619825877144239,40.0,0.7194393212365887,36.75031360041627,12.90038655590765,1
3,0,0.18095238095238098,0.2,0.1904761904761905,13.619825877144239,40.0,4.738553388071406,30.659979845587635,8.881272489072833,1
3,1,0.16875,0.21428571428571427,0.19151785714285713,13.619825877144239,40.0,2.5970737482726323,33.36798103039136,11.022752128871605,1
3,2,0.14285714285714288,0.18571428571428572,0.1642857142857143,13.619825877144239,40.0,2.3775675974583486,35.00450617394202,11.24225827968589,1
3,3,0.22307692307692314,0.19999999999999998,0.21153846153846156,13.619825877144239,40.0,4.536800138951024,30.472568224569308,9.083025738193214,1
3,4,0.17419354838709677,0.25000000000000006,0.21209677419354842,13.619825877144239,40.0,1.1121287161207696,35.58384392323212,12.507697161023469,1
3,5,0.20588235294117646,0.2285714285714286,0.21722689075630253,13.619825877144239,40.0,2.2387769801428945,35.57860380312817,11.381048897001344,1
3,6,0.1875,0.22999999999999998,0.20875,13.619825877144239,40.0,3.285759936090319,33.70817797559921,10.33406594105392,1
3,7,0.16296296296296295,0.2166666666666667,0.18981481481481483,13.619825877144239,40.0,3.1300205043919456,31.568172801719097,10.489805372752294,1
3,8,0.12,0.13333333333333333,0.12666666666666665,13.619825877144239,40.0,1.0959802312821427,36.21015929594696,12.523845645862096,1
3,9,0.17333333333333337,0.2,0.1866666666666667,13.619825877144239,40.0,1.2731047377196294,35.86262071337714,12.34672113942461,1
4,0,0.21785714285714292,0.24545454545454548,0.2316558441558442,13.619825877144239,40.0,3.858271050395146,31.500714614204558,9.761554826749093,1
4,1,0.19999999999999998,0.22000000000000003,0.21000000000000002,13.619825877144239,40.0,2.651964752640259,33.511654364671074,10.96786112450398,1
4,2,0.18846153846153849,0.25,0.21923076923076923,13.619825877144239,40.0,5.190909468903043,29.4851896031148,8.428916408241196,1
4,3,0.2058823529411765,0.2,0.20294117647058824,13.619825877144239,40.0,5.3577311081986805,29.698975746320688,8.262094768945559,1
4,4,0.20857142857142857,0.26153846153846155,0.23505494505494506,13.619825877144239,40.0,3.298328989826926,30.188558585339905,10.321496887317313,1
4,5,0.2,0.21428571428571425,0.20714285714285713,13.619825877144239,40.0,3.2330414636388682,33.648633367603075,10.38678441350537,1
4,6,0.2257142857142857,0.26153846153846155,0.24362637362637363,13.619825877144239,40.0,3.2635468261064915,33.49196486466699,10.356279051037747,1
4,7,0.18695652173913047,0.22000000000000003,0.20347826086956525,13.619825877144239,40.0,3.0006432228351034,32.08935377535527,10.619182654309135,1
4,8,0.18,0.22500000000000003,0.2025,13.619825877144239,40.0,1.4465547057276666,35.4370336628826,12.173271171416571,1
4,9,0.18571428571428578,0.25,0.2178571428571429,13.619825877144239,40.0,2.2611881915775895,32.691206190865046,11.358637685566649,1
6,0,0.23225806451612904,0.2727272727272727,0.2524926686217009,13.619825877144239,40.0,6.056347305466848,25.758482931339934,7.563478571677391,1
6,1,0.25,0.2692307692307692,0.2596153846153846,13.619825877144239,40.0,5.820328505679356,27.20660370403403,7.7994973714648825,1
6,2,0.2392857142857143,0.30000000000000004,0.2696428571428572,13.619825877144239,40.0,5.520185624675643,28.769379226529757,8.099640252468596,1
6,3,0.2302325581395349,0.3000000000000001,0.2651162790697675,13.619825877144239,40.0,9.485699070635173,23.387914191592536,4.134126806509066,1
6,4,0.25675675675675674,0.3,0.27837837837837837,13.619825877144239,40.0,6.239353190884666,24.364126146163713,7.380472686259573,1
6,5,0.24736842105263154,0.3083333333333333,0.2778508771929824,13.619825877144239,40.0,9.319201068057072,22.476176350264193,4.300624809087166,1
6,6,0.25806451612903225,0.2727272727272727,0.2653958944281525,13.619825877144239,40.0,5.678951661711017,27.033166615662946,7.9408742154332215,1
