m,n_S_in,n_Z_in,V_full,V_proj,certificate,true_error,valid
0.1,1,1,11.768084464848432,1.5867666700092613,36.82646665998148,10.18131779483917,1
0.2,2,1,11.768084464848432,3.1687220214716674,33.66278379814349,8.599362443376764,1
0.30000000000000004,3,2,11.768084464848432,6.212109788735903,27.566426554230073,5.555974676112529,1
0.4,4,2,11.768084464848432,8.310354687941796,23.34952796505776,3.4577297769066355,1
0.5,5,2,11.768084464848432,10.2923920275726,19.363122231087495,1.475692437275832,1
0.6,6,3,11.768084464848432,12.920400007685929,13.016075934288713,1.1523155428374974,1
0.7000000000000001,7,4,11.768084464848432,12.406765341052935,9.834710323119939,0.6386808762045035,1
0.8,8,4,11.768084464848432,11.974414522459957,7.945756825105757,0.20633005761152567,1
0.9,9,4,11.768084464848432,11.715835701456129,6.501562644452719,0.05224876339230278,1
1.0,10,5,11.768084464848432,11.768084464848432,8.881784197001252e-15,0.0,1
