Support,V_full,V_proj,certificate,true_error,delta_b_contribution,delta_K_contribution,leakage_contribution
0.1,4.923031901360367,0.4901271235090496,87.96104820381507,4.432904777851317,0.0,30.94645133374047,57.01459687007463
0.325,4.923031901360367,1.4333551417209343,100.81203874221029,3.4896767596394325,0.0,47.915183047553136,52.89685569465716
0.55,4.923031901360367,3.446956466658138,101.04500782691059,1.4760754347022287,0.0,60.00000000000003,41.04500782691056
0.775,4.923031901360367,6.902433241635681,82.59242078188498,1.979401340275314,0.0,60.000000000000085,22.592420781884886
1.0,4.923031901360367,4.923031901360367,60.0000000000003,0.0,0.0,60.0000000000003,0.0
