experiment_id,date,description,planner_label,rho_T,rho_Z,ucb_mode,budget,sims_per_backup,horizon,eta_world_obs,eta_world_trans,trial_seed,episode_return,runtime_s,n_correct_open,n_wrong_open,n_listen_actions
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,32,17.0,0.029684400011319667,2,0,3
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,33,39.0,0.0315785999991931,4,0,1
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,34,17.0,0.03151709999656305,2,0,3
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,35,-93.0,0.03049879998434335,1,1,3
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,36,-93.0,0.030107200000202283,1,1,3
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,37,-82.0,0.030252099997596815,2,1,2
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,38,-93.0,0.030124399985652417,1,1,3
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,39,-82.0,0.03011379999225028,2,1,2
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,40,-181.0,0.03015080001205206,2,2,1
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,41,-104.0,0.03056679997825995,0,1,4
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,42,-93.0,0.029860699985874817,1,1,3
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,43,-82.0,0.04804520000470802,2,1,2
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,44,-82.0,0.03006009999080561,2,1,2
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,45,28.0,0.0309181000047829,3,0,2
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,46,17.0,0.02997579998918809,2,0,3
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,47,-93.0,0.030528200004482642,1,1,3
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,48,17.0,0.029974000004585832,2,0,3
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,49,6.0,0.03071960000670515,1,0,4
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,50,17.0,0.03190170001471415,2,0,3
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,51,39.0,0.029902400012360886,4,0,1
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,52,-5.0,0.030249599978560582,0,0,5
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,53,17.0,0.029911599995102733,2,0,3
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,54,6.0,0.03081289998954162,1,0,4
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,55,-93.0,0.030022400023881346,1,1,3
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,56,6.0,0.02988079999340698,1,0,4
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,57,17.0,0.029843399999663234,2,0,3
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,58,-82.0,0.030708500009495765,2,1,2
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,59,-93.0,0.047334799979580566,1,1,3
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,60,17.0,0.03059820001362823,2,0,3
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,61,6.0,0.030366399994818494,1,0,4
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,62,-82.0,0.03043050001724623,2,1,2
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,63,17.0,0.030459699977654964,2,0,3
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,64,-93.0,0.03041760000633076,1,1,3
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,65,6.0,0.030576599994674325,1,0,4
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,66,-104.0,0.030676900001708418,0,1,4
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,67,17.0,0.029955499980133027,2,0,3
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,68,6.0,0.03018780000275001,1,0,4
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,69,-82.0,0.030558600003132597,2,1,2
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,70,17.0,0.036406700004590675,2,0,3
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,71,17.0,0.030495400016661733,2,0,3
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,72,17.0,0.03003189997980371,2,0,3
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,73,17.0,0.029896299995016307,2,0,3
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,74,28.0,0.029826599988155067,3,0,2
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,75,-203.0,0.046046100003877655,0,2,3
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,76,-93.0,0.030450799997197464,1,1,3
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,77,6.0,0.03005430000484921,1,0,4
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,78,-71.0,0.03022640000563115,3,1,1
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,79,-104.0,0.030254999990575016,0,1,4
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,80,-5.0,0.02990940000745468,0,0,5
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,81,-82.0,0.03183990000979975,2,1,2
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,82,6.0,0.03113759998814203,1,0,4
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,83,-291.0,0.030071100016357377,1,3,1
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,84,6.0,0.030450999998720363,1,0,4
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,85,-82.0,0.0304304999881424,2,1,2
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,86,-71.0,0.03038310000556521,3,1,1
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,87,-71.0,0.03300019999733195,3,1,1
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,88,28.0,0.03278340000542812,3,0,2
