K,action,Q_full,Q_proj_mean,Q_proj_std,eps_mean,eps_min,eps_max,valid,worst_margin
1,0,9.533765423244127,0.23516884322443699,0.37889006503037864,37.857026836744936,36.25729012222858,38.63210328580138,1,-27.679879502230325
1,1,13.619825877144239,0.8263822575228297,0.6179355196967851,38.15680932595883,36.637468919663725,39.51460314547326,1,-24.698908582687622
1,2,9.500457603714112,0.05718238532454968,0.43797785331485806,37.75161985318743,36.00383759060515,39.52481963833957,1,-27.058231300587742
1,3,0.0,0.0,0.0,35.02599437164083,33.8999990957344,38.13488791723347,1,-33.8999990957344
2,0,9.533765423244127,0.6204802384490808,0.789185679487109,36.16983556363623,33.460747094911454,37.68523405419914,1,-25.991721363110393
2,1,13.619825877144239,1.396502019404266,0.6504955177067063,36.74627505592211,35.348367385455525,37.66199979664478,1,-24.073175254963672
2,2,9.500457603714112,0.11823501656800654,0.7795997173736586,35.429637499895435,32.740684322274774,36.658832245089144,1,-24.777041840840845
2,3,0.0,0.0,0.0,31.188280808824192,27.980280463547984,34.08028136781358,1,-27.980280463547984
4,0,9.533765423244127,1.8881184392039017,0.419833404250732,31.050122031434057,29.115683042274874,32.86488275670523,1,-21.84548366010664
4,1,13.619825877144239,4.071441073992811,1.0550647676635543,30.877018582730205,29.4851896031148,33.511654364671074,1,-19.867061698022592
4,2,9.500457603714112,1.1203537596368451,0.8478145734624651,30.439149190342487,27.36400702039186,32.9029974725154,1,-19.66180355979759
4,3,0.0,0.0,0.0,22.738326201669054,17.154979972455493,26.55086854602404,1,-17.154979972455493
8,0,9.533765423244127,4.974419167586488,1.2557110296935063,21.62586463200342,16.769363381180685,25.57576157915274,1,-12.945272485241286
8,1,13.619825877144239,8.10695454255939,1.620766658816789,22.410389787564647,16.652165923247917,26.691185378588393,1,-13.40386553472238
8,2,9.500457603714112,3.60402065906693,0.997393436398589,21.710339848241734,18.78818211087558,23.606506882956385,1,-13.931558280203639
8,3,0.0,0.0,0.0,12.420223507701548,2.360738424114146,17.319745563060216,1,-2.360738424114146
16,0,9.533765423244127,7.506396670373782,1.3401688241168803,13.470868635236547,8.660967256339163,20.572488630519352,1,-7.773117324094635
16,1,13.619825877144239,11.371795498023374,2.117544852798537,13.98693861693583,9.12167349168202,21.11700082782088,1,-8.323457938594492
16,2,9.500457603714112,6.522257979808499,2.153284774202697,13.743555800535287,9.876898992275164,21.06090019322992,1,-7.803866015530362
16,3,0.0,0.0,0.0,6.820109822304519,0.40000000000000924,15.555784605053384,1,-0.40000000000000924
32,0,9.533765423244127,8.889490734549074,0.7955414815676233,8.099537717812435,5.069776002278172,14.768866823510002,1,-4.853065406922233
32,1,13.619825877144239,13.02954451134014,0.9662588298498609,7.6742549802683495,4.997758268250783,14.738330263857387,1,-4.773972577294389
32,2,9.500457603714112,8.380801457130241,1.2325981872982126,7.658631258269101,4.490548626626294,15.149544640809928,1,-4.149686461057549
32,3,0.0,0.0,0.0,2.5402356111267075,8.881784197001252e-15,9.636065972866973,1,-8.881784197001252e-15
64,0,9.533765423244127,9.314691407260321,0.04587665118307277,4.084112787978685,2.791607097597877,5.425781143356229,1,-2.6249951393337105
64,1,13.619825877144239,13.476295462056001,0.04158258384842894,4.268481320195996,2.7913766120972294,5.692847814248153,1,-2.6305291039383576
64,2,9.500457603714112,9.214670565226097,0.048943337624859584,4.473290060123162,3.641047921991026,5.791140487878616,1,-3.356557130914254
64,3,0.0,0.0,0.0,0.32000000000000917,8.881784197001252e-15,0.40000000000000924,1,-8.881784197001252e-15
128,0,9.533765423244127,9.40241081150613,0.05947028446272309,3.0238487158372522,2.503085711820047,3.6983759382800985,1,-2.364400524603269
128,1,13.619825877144239,13.53994285764189,0.0489130178415718,2.9095746427549316,2.582868033047714,3.33409222163473,1,-2.4574827356359745
128,2,9.500457603714112,9.305934065019722,0.049408258709510516,3.461265588553064,2.572713526251007,4.003578250248886,1,-2.396837342423845
128,3,0.0,0.0,0.0,0.2400000000000091,8.881784197001252e-15,0.40000000000000924,1,-8.881784197001252e-15
256,0,9.533765423244127,9.453315242699134,0.00849780415591918,2.393337384657731,2.1653830864439696,2.8188456025843136,1,-2.0807937281327193
256,1,13.619825877144239,13.56824321776946,0.03551985471566634,2.3403366555146565,2.1589231995749536,2.875614258244191,1,-2.0912715374439834
256,2,9.500457603714112,9.376035736078936,0.029389075189545727,3.1364306554727817,3.012348761512408,3.4114322215368365,1,-2.8778063591319256
256,3,0.0,0.0,0.0,0.08000000000000895,8.881784197001252e-15,0.40000000000000924,1,-8.881784197001252e-15
2048,0,9.533765423244127,9.468846811574124,0.00264828195372746,2.0133971614578217,1.8902686589553153,2.047738541429849,1,-1.8274119100430426
2048,1,13.619825877144239,13.561077762926242,0.0025197233070940626,1.995124625365993,1.93466067351577,2.0283156092694945,1,-1.8734708036075565
2048,2,9.500457603714112,9.40248988415144,0.0012937008618085482,2.0822258040185675,1.959392916959124,2.173569624065741,1,-1.8598303213043428
2048,3,0.0,0.0,0.0,8.881784197001252e-15,8.881784197001252e-15,8.881784197001252e-15,1,-8.881784197001252e-15
