K,action,avg_frac,Q_full,Q_proj_mean,Q_proj_std,eps_mean,eps_min,eps_max,valid,worst_margin
16,0,0.34880952380952385,9.533765423244127,6.631208338714428,0.0,13.589526757453404,13.589526757453404,13.589526757453404,1,-10.686969672923706
16,1,0.34880952380952385,13.619825877144239,9.933406876458024,0.0,15.11082087970235,15.11082087970235,15.11082087970235,1,-11.424401879016136
16,2,0.3294117647058824,9.500457603714112,5.708960705206829,0.0,15.517058486874934,15.517058486874934,15.517058486874934,1,-11.72556158836765
16,3,0.7,0.0,0.0,0.0,7.918913999588528,7.918913999588528,7.918913999588528,1,-7.918913999588528
32,0,0.43394088669950737,9.533765423244127,9.276362992008131,0.0,5.97020965081557,5.97020965081557,5.97020965081557,1,-5.712807219579575
32,1,0.43373015873015874,13.619825877144239,13.396040186187845,0.0,4.997758268250783,4.997758268250783,4.997758268250783,1,-4.773972577294389
32,2,0.437821758135017,9.500457603714112,9.159595438145367,0.0,4.490548626626294,4.490548626626294,4.490548626626294,1,-4.149686461057549
32,3,1.0,0.0,0.0,0.0,8.881784197001252e-15,8.881784197001252e-15,8.881784197001252e-15,1,-8.881784197001252e-15
256,0,0.5907155797101449,9.533765423244127,9.449176064932876,0.0,2.1653830864439696,2.1653830864439696,2.1653830864439696,1,-2.0807937281327193
256,1,0.5875455097087379,13.619825877144239,13.543913471197383,0.0,2.3041275958589944,2.3041275958589944,2.3041275958589944,1,-2.228215189912139
256,2,0.5647058823529412,9.500457603714112,9.359936798469322,0.0,3.07366778866182,3.07366778866182,3.07366778866182,1,-2.93314698341703
256,3,1.0,0.0,0.0,0.0,8.881784197001252e-15,8.881784197001252e-15,8.881784197001252e-15,1,-8.881784197001252e-15
512,0,0.6251920122887864,9.533765423244127,9.443433610565918,0.0,2.147659210282832,2.147659210282832,2.147659210282832,1,-2.057327397604624
512,1,0.6270534290271133,13.619825877144239,13.547507360051274,0.0,2.0774745599647804,2.0774745599647804,2.0774745599647804,1,-2.0051560428718154
512,2,0.6381372549019608,9.500457603714112,9.384301553868104,0.0,2.2042853333073786,2.2042853333073786,2.2042853333073786,1,-2.0881292834613703
512,3,1.0,0.0,0.0,0.0,8.881784197001252e-15,8.881784197001252e-15,8.881784197001252e-15,1,-8.881784197001252e-15
1024,0,0.6815818281335522,9.533765423244127,9.465497074352971,0.0,1.9234378531714802,1.9234378531714802,1.9234378531714802,1,-1.8551695042803245
1024,1,0.6802408319649698,13.619825877144239,13.558608687955443,0.0,1.9719856960027227,1.9719856960027227,1.9719856960027227,1,-1.9107685068139273
1024,2,0.6721062618595826,9.500457603714112,9.388720048226531,0.0,2.1846317341190358,2.1846317341190358,2.1846317341190358,1,-2.0728941786314548
1024,3,1.0,0.0,0.0,0.0,8.881784197001252e-15,8.881784197001252e-15,8.881784197001252e-15,1,-8.881784197001252e-15
2048,0,0.7194285714285713,9.533765423244127,9.467088135386286,0.0,2.047738541429849,2.047738541429849,2.047738541429849,1,-1.9810612535720078
2048,1,0.716919850885368,13.619825877144239,13.558183112583354,0.0,2.0255200733154686,2.0255200733154686,2.0255200733154686,1,-1.9638773087545838
2048,2,0.717652329749104,9.500457603714112,9.400895008059331,0.0,1.959392916959124,1.959392916959124,1.959392916959124,1,-1.8598303213043428
2048,3,1.0,0.0,0.0,0.0,8.881784197001252e-15,8.881784197001252e-15,8.881784197001252e-15,1,-8.881784197001252e-15
